"player_name","player_id","yellow_cards","red_cards","goals","assists","total_minutes_played"
"A.J. Soares",176850,8,0,4,0,1684
"AJ Leitch-Smith",115608,7,0,49,35,11900
"Aaron Appindangoy<U+00E9>",254249,220,0,0,22,121066
"Aaron Bastiaans",578459,0,0,8,0,128
"Aaron Boupendza",427605,63,0,198,9,23274
"Aaron Chapman",270571,0,0,0,0,1341
"Aaron Comrie",360102,20,0,0,0,11140
"Aaron Connolly",434207,9,0,72,27,24012
"Aaron Cresswell",92571,918,54,270,918,686664
"Aaron Dhondt",351390,0,0,0,0,33
"Aaron Doran",96148,60,0,140,80,51920
"Aaron Hickey",591949,180,12,72,24,67764
"Aaron Hughes",3580,0,0,0,0,67350
"Aaron Hunt",4687,231,0,396,231,210870
"Aaron Kuhl",249884,0,0,0,0,1350
"Aaron Lennon",14221,663,0,468,585,523692
"Aaron Lennox",216896,4,0,0,0,360
"Aaron Leya Iseka",289587,276,23,414,69,123487
"Aaron Martin",136581,44,0,0,0,18810
"Aaron Mattia Tabacchi",353998,0,0,0,0,35
"Aaron McCarey",138473,9,0,0,0,13086
"Aaron McEneff",167264,0,0,8,8,2440
"Aaron McGowan",257729,128,0,16,32,47864
"Aaron Meijers",56836,1140,30,180,810,537300
"Aaron Mooy",123951,253,0,207,230,180964
"Aaron Muirhead",120980,15,0,0,0,5235
"Aaron Nemane",248325,0,0,0,0,195
"Aaron Olanare",240551,46,0,138,0,45586
"Aaron Ramsdale",427568,34,0,0,17,185130
"Aaron Ramsey",50057,858,0,1518,1419,535887
"Aaron Seydel",187499,0,0,18,18,3708
"Aaron Simpson",346270,0,0,0,4,454
"Aaron Smith",593088,0,0,0,0,20
"Aaron Splaine",305977,4,0,0,0,594
"Aaron Taylor-Sinclair",121032,28,0,42,0,24976
"Aaron Tshibola",243633,345,0,60,30,86850
"Aaron Wan-Bissaka",477758,357,34,34,238,256207
"Aar<U+00F3>n Escandell",284430,51,0,0,0,38981
"Aar<U+00F3>n Mart<U+00ED>n",251878,572,0,22,198,326150
"Aar<U+00F3>n <U+00D1><U+00ED>guez",57943,135,0,0,54,44550
"Aatif Chahechouhe",73480,465,0,1240,372,335327
"Abbas Ibrahim",631278,12,0,0,0,4542
"Abbe Khalili",154414,475,0,250,175,252600
