"player_name","player_id","yellow_cards","red_cards","goals","assists","total_minutes_played","market_value_eur"
"A.J. Soares",176850,8,0,4,0,1684,3e+05
"AJ Leitch-Smith",115608,7,0,49,35,11900,3e+05
"Aaron Appindangoyé",254249,220,0,0,22,121066,1800000
"Aaron Bastiaans",578459,0,0,8,0,128,250000
"Aaron Boupendza",427605,63,0,198,9,23274,8500000
"Aaron Chapman",270571,0,0,0,0,1341,250000
"Aaron Comrie",360102,20,0,0,0,11140,3e+05
"Aaron Connolly",434207,9,0,72,27,24012,7e+06
"Aaron Cresswell",92571,918,54,270,918,686664,1.2e+07
"Aaron Dhondt",351390,0,0,0,0,33,250000
"Aaron Doran",96148,60,0,140,80,51920,550000
"Aaron Hickey",591949,180,12,72,24,67764,1.8e+07
"Aaron Hughes",3580,0,0,0,0,67350,5500000
"Aaron Hunt",4687,231,0,396,231,210870,7e+06
"Aaron Kuhl",249884,0,0,0,0,1350,150000
"Aaron Lennon",14221,663,0,468,585,523692,2.1e+07
"Aaron Lennox",216896,4,0,0,0,360,75000
"Aaron Leya Iseka",289587,276,23,414,69,123487,3e+06
"Aaron Martin",136581,44,0,0,0,18810,3e+05
"Aaron Mattia Tabacchi",353998,0,0,0,0,35,125000
"Aaron McCarey",138473,9,0,0,0,13086,175000
"Aaron McEneff",167264,0,0,8,8,2440,4e+05
"Aaron McGowan",257729,128,0,16,32,47864,325000
"Aaron Meijers",56836,1140,30,180,810,537300,1e+06
"Aaron Mooy",123951,253,0,207,230,180964,1.4e+07
"Aaron Muirhead",120980,15,0,0,0,5235,250000
"Aaron Nemane",248325,0,0,0,0,195,3e+05
"Aaron Olanare",240551,46,0,138,0,45586,2e+06
"Aaron Ramsdale",427568,34,0,0,17,185130,3e+07
"Aaron Ramsey",50057,858,0,1518,1419,535887,4.5e+07
"Aaron Seydel",187499,0,0,18,18,3708,6e+05
"Aaron Simpson",346270,0,0,0,4,454,50000
"Aaron Smith",593088,0,0,0,0,20,50000
"Aaron Splaine",305977,4,0,0,0,594,125000
"Aaron Taylor-Sinclair",121032,28,0,42,0,24976,350000
"Aaron Tshibola",243633,345,0,60,30,86850,3e+06
"Aaron Wan-Bissaka",477758,357,34,34,238,256207,4e+07
"Aarón Escandell",284430,51,0,0,0,38981,1e+06
"Aarón Martín",251878,572,0,22,198,326150,2e+07
"Aarón Ñíguez",57943,135,0,0,54,44550,1500000
"Aatif Chahechouhe",73480,465,0,1240,372,335327,7e+06
"Abbas Ibrahim",631278,12,0,0,0,4542,250000
"Abbe Khalili",154414,475,0,250,175,252600,2e+06
"Abdallah Aberkane",361086,0,0,0,0,24,275000
"Abdallah Ndour",232854,64,16,0,0,17616,9e+05
"Abdallah Sima",776798,0,0,0,6,1224,1.1e+07
"Abdallahi Mahmoud",615636,9,0,0,0,1935,8e+05
"Abde Ezzalzouli",724520,36,0,9,0,6228,8e+06
"Abdel Malek El Hasnaoui",226024,0,0,0,11,4840,250000
"Abdel Medioub",596901,24,0,0,8,13232,6e+05
"Abdelaziz Barrada",93664,128,32,48,128,33616,8e+06
"Abdelhak Nouri",258353,8,0,8,24,4824,2500000
"Abdelhamid El Kaoutari",74615,238,0,34,34,207094,4e+06
"Abdelhamid Sabiri",340394,190,0,133,76,49704,4e+06
"Abdelkader Ghezzal",76406,0,0,0,0,19458,3500000
"Abdelkahar Kadri",592400,18,9,9,54,13068,2e+06
"Abdelkarim Hassan",171412,60,0,15,15,13320,1e+06
"Abderahmane Soussi",838813,3,0,0,0,210,1e+05
"Abdiel Arroyo",283472,0,0,0,0,988,350000
"Abdisalam Ibrahim",121406,85,0,0,0,11968,1200000
"Abdou Diakhate",320263,0,0,0,0,13,8e+05
"Abdou Diallo",229005,456,72,144,144,324264,3.5e+07
"Abdou Harroui",416386,90,0,165,180,87165,3500000
"Abdou Traoré",42941,672,0,768,224,225472,4250000
"Abdou Traoré",66415,20,0,0,0,27700,1200000
"Abdoul Ba",322351,0,0,0,0,5512,6e+05
"Abdoul Camara",60588,80,0,80,40,49560,1250000
"Abdoul Kader Bamba",560725,70,0,40,40,23700,2e+06
"Abdoul Tapsoba",640735,56,0,28,7,10423,1e+06
"Abdoul Wahid Sissoko",83368,520,0,52,0,212212,1500000
"Abdoulay Diaby",148396,570,0,1350,690,339930,6e+06
"Abdoulay Konko",22139,182,0,26,78,90324,8e+06
"Abdoulaye Ba",106837,754,52,78,26,209690,3e+06
"Abdoulaye Bamba",62351,375,0,0,150,178675,3e+06
"Abdoulaye Dabo",463611,0,0,0,0,936,1e+06
"Abdoulaye Diallo",126681,0,0,0,0,97110,1200000
"Abdoulaye Diallo",415271,0,0,0,0,864,3e+05
"Abdoulaye Doucouré",127187,1425,0,675,700,558250,2.5e+07
"Abdoulaye Keita",178019,120,0,0,30,45495,6e+05
"Abdoulaye Méïté",5315,44,0,0,0,17270,5e+06
"Abdoulaye Sanogo",355350,0,0,0,0,54,2e+05
"Abdoulaye Seck",265383,324,36,90,36,106110,3e+06
"Abdoulaye Sissako",418661,104,13,39,91,41275,1800000
"Abdoulaye Sylla",807648,5,0,0,0,790,8e+05
"Abdoulaye Touré",181382,294,21,189,189,228900,1e+07
"Abdoulie Sanyang",693906,18,0,0,27,6408,1500000
"Abdourahmane Barry",536472,33,0,0,11,3069,5e+05
"Abdu Conté",337798,154,0,0,112,93072,3e+06
"Abdul Ajagun",131664,440,0,340,240,198200,1500000
"Abdul Mumin",451801,330,15,15,15,106545,3e+06
"Abdul Nurudeen",511168,12,0,0,0,22680,6e+05
"Abdul Osman",52101,372,0,36,156,126048,550000
"Abdul Rahman Weiss",504592,90,0,0,18,34236,6e+05
"Abdul Razak",177321,28,0,0,0,10206,1e+06
"Abdul-Aziz Tetteh",157003,624,26,104,26,152568,2500000
"Abdul-Rahman Baba",224884,405,0,81,297,213678,1.5e+07
"Abdulaziz Demircan",230960,20,0,0,0,36920,5e+05
"Abdulhamit Yildiz",56837,66,0,0,0,14168,4e+05
"Abdulkadir Parmak",276337,425,25,125,200,166525,4e+06
"Abdulkadir Sünger",796259,0,0,0,0,5040,450000
"Abdulkadir Özdemir",98133,0,0,0,0,2184,1e+06
"Abdullah Durak",82713,608,32,0,128,228800,2e+06
"Abdullah Sahindere",655901,0,0,0,0,7,150000
"Abdullah Yigiter",393371,0,0,0,0,3960,125000
"Abdullahi Shehu",262687,255,0,34,0,74120,850000
"Abdulrahman Taiwo",350398,55,0,55,22,12760,450000
"Abdulsamed Damlu",341649,18,0,0,0,33840,8e+05
"Abdurrahim Dursun",366194,0,0,0,0,4298,5e+05
"Abdurrahman Canli",319679,22,0,11,0,2046,350000
"Abdurrahman Dereli",7937,21,0,0,0,3675,3500000
"Abdón Prats",177452,57,0,76,0,24586,2e+06
"Abdülkadir Kayali",57255,390,0,26,26,84760,1500000
"Abdülkadir Ömür",271495,120,0,400,500,185720,1.5e+07
"Abdülkerim Bardakci",199316,572,0,208,182,187200,5e+06
"Abel Aguilar",37388,290,0,29,29,69919,4200000
"Abel Camará",158380,440,44,286,88,135542,1e+06
"Abel Gómez",29065,50,0,0,0,33700,2e+06
"Abel Hernández",76608,58,0,348,145,106923,8e+06
"Abel Ruiz",340376,64,0,176,96,62208,7e+06
"Abel Tamata",123513,13,0,0,0,30888,6e+05
"Abiola Dauda",69651,330,30,1290,360,268410,1250000
"Ablaye Faye",256139,0,0,0,0,1092,250000
"Ablaye Mbengue",354040,165,0,345,45,68235,1500000
"Ablie Jallow",366045,24,0,60,12,24024,1e+06
"Abner",273455,78,13,0,26,23205,5e+05
"Abou Ba",427653,44,0,0,0,8712,6e+05
"Abou Diaby",26763,23,0,0,0,7636,9e+06
"Abou Kanté",315095,0,0,0,0,768,1200000
"Abou Ouattara",443263,20,0,10,0,2900,8e+05
"Aboubakar Kamara",290951,342,57,304,95,101061,4e+06
"Aboubakar Keita",294807,19,0,19,38,9367,650000
"Aboubakar Oumarou",97166,28,0,0,28,29120,2e+06
"Aboubakary Koita",422377,187,0,221,102,87584,1500000
"Abraham González",65243,135,0,54,54,77814,1500000
"Abraham Minero",95483,174,0,29,58,38251,2e+06
"Abraham Okyere",733431,0,0,0,0,290,50000
"Abu Francis",658533,72,18,54,36,23913,1500000
"Abubakar Inalkaev",866756,0,0,0,0,177,50000
"Abubakar Kadyrov",488849,10,0,10,0,1080,75000
"Abud Omar",272920,36,0,0,0,8484,5e+05
"Abuda",228206,60,0,0,0,25644,1500000
"Abukar Mohamed",363714,6,0,0,0,270,1e+05
"Accioly",56054,22,0,11,0,10978,2e+05
"Accursio Bentivegna",244927,21,0,0,0,3801,8e+05
"Achille Vaarnold",241502,0,0,0,0,581,250000
"Achilleas Poungouras",255688,374,0,17,17,139009,8e+05
"Achraf El Bouchataoui",361122,0,0,0,0,3696,3e+05
"Achraf Hakimi",398073,528,22,550,770,302368,7e+07
"Achraf Lazaar",139173,168,0,112,140,166824,3e+06
"Adalberto Peñaranda",308801,252,0,108,72,63774,4e+06
"Adam Armstrong",250426,36,0,72,108,43902,1.8e+07
"Adam Bareiro",514120,55,0,55,33,21153,3500000
"Adam Barton",106252,54,0,18,18,49779,350000
"Adam Bodzek",20778,476,34,0,68,125086,1750000
"Adam Brown",331074,0,0,0,0,1414,1e+05
"Adam Campbell",204354,0,0,0,0,110,250000
"Adam Clayton",73067,242,0,0,44,71676,3500000
"Adam Collin",3564,0,0,0,5,1800,250000
"Adam Drury",186292,0,0,3,1,905,50000
"Adam Dzwigala",236966,96,0,0,24,31512,5e+05
"Adam Eckersley",37138,0,0,0,0,1350,5e+05
"Adam Federici",4233,22,0,0,0,33990,2e+06
"Adam Forshaw",121257,189,0,0,42,93891,5e+06
"Adam Frizzell",356621,24,0,24,0,14736,2e+05
"Adam Hammill",38091,34,0,68,68,15487,1500000
"Adam Hlousek",62800,266,0,0,0,78850,1500000
"Adam Hutchinson",652634,0,0,0,0,180,50000
"Adam Idah",434223,0,0,50,10,12410,3e+06
"Adam Jackson",134419,0,0,28,7,8421,350000
"Adam Jakobsen",503602,56,0,42,0,14980,350000
"Adam Jakubech",258267,19,0,0,0,44460,1200000
"Adam Johnson",31579,110,0,154,176,79134,1.5e+07
"Adam King",169566,0,0,0,0,1080,150000
"Adam Kokoszka",33430,125,0,0,50,50750,9e+05
"Adam Kolberg",376782,0,0,0,0,70,25000
