"book","price","author","rating","muadmu","descriptions"
"โชคดีที่มึงได้อ่าน","255.55 บาท","เกตุเสพย์สวัสดิ์ ปาลกะวงศ์ ณ อยุธยา","73 โหวต","จิตวิทยา การพัฒนาตัวเอง","ผมไม่เคยอวดอ้าง หรือแม้แต่จะคิดว่าตัวเองนั้นเป็นผู้รอบรู้ที่ตอบได้หมดทุกคำถาม ว่ากันตามตรงทุกคำตอบมาจากประสบการณ์จริงที่ผมสัมผัส เรียนรู้ และใช้มันตลอดชีวิตที่ผ่านมา แน่ละหลายๆ คำตอบอาจไม่ตรงใจ ใครหลายคน ซึ่งไม่ใช่เรื่องแปลกเพราะในเหตุการณ์เดียวกัน แต่ละคนย่อมมีมุมมองที่ต่างกันออกไป"
"เลิกเป็นคนดี แล้วจะมีความสุข","180.00 บาท","โกะโด โทคิโอะ (Tokio Godo)","119 โหวต","จิตวิทยา การพัฒนาตัวเอง","ทุกคนต้องการเป็นที่ชื่นชอบและได้รับการยอมรับกันทั้งนั้น แต่บางคนก็แคร์สายตาคนอื่นมากไปจนไม่เป็นตัวของตัวเอง สุดท้ายก็กดดันและเป็นทุกข์ ""เลิกเป็นคนดี แล้วจะมีความสุข"" จะช่วยให้คุณกล้าเป็นตัวเองมากขึ้น และแคร์สายตาคนอื่นน้อยลง เช่น เลิกกลัวการถูกเกลียด เลิกเปลี่ยนตัวเองให้เข้ากับคนอื่น และเลิกเกรงใจจนเกินเหตุ เป็นต้น เลิกฝันทำสิ่งที่ไม่ชอบเพราะอยากให้คนอื่นพอใจหันมาทำสิ่งที่ต้องการแล้วชีวิตจะง่ายขึ้น"
"เมื่อแมวที่บ้านคุณผันตัวเองมาเป็นไลฟ์โค้ช","140.00 บาท","Stephane Garnier","1 โหวต","จิตวิทยา การพัฒนาตัวเอง",NA
"ชีวิตเรามีแค่สี่พันสัปดาห์","212.00 บาท","Oliver Burkeman","9 โหวต","จิตวิทยา การพัฒนาตัวเอง",NA
"ใช้คลื่นพลังบวกดึงดูดพลังสุข","196.00 บาท","เว็กซ์ คิงส์","109 โหวต","จิตวิทยา การพัฒนาตัวเอง"," เว็กซ์ คิงส์ ผู้ได้รับการยกย่องว่าเป็นผู้นำทางจิตวิญญาณแก่คนรุ่นใหม่จะเปลี่ยนคลื่ความถี่ทางอารมณ์ของคุณให้ตรงกับพลังงานบวกทั้งหลาย เพื่อดึงดูดความสุขและความสำเร็จอย่างที่คุณอาจไม่เคยคิดฝัน"
"#ถึงเวลาเล่าความจริง","212.00 บาท","ยูกิ ชินอิจิโร","0 โหวต","นิยายแปล",NA
"Zero Training ร่างกายดีที่สุดที่จุดศูนย์","172.00 บาท","โทโมมิ อิชิมุระ","3 โหวต","สุขภาพ ความงาม",NA
"ATOMIC HABITS เพราะชีวิตดีได้กว่าที่เป็น","270.75 บาท","James Clear","124 โหวต","จิตวิทยา การพัฒนาตัวเอง"," หากคุณพยายามเปลี่ยนแปลงตัวเองแต่ไม่สำเร็จสักที หนังสือเล่มนี้ช่วยคุณได้! ด้วยการพัฒนาตัวเองให้ดีขึ้นเพียงวันละ 1% ไม่ว่าเป้าหมายในชีวิตของคุณคืออะไร คุณทำสำเร็จได้อย่างแน่นอน!"
"อย่าเสียดายหากพรุ่งนี้สิ่งที่เคยมีจะหายไป","156.00 บาท","เพจ1991","8 โหวต","วรรณกรรม","บางเรื่องจบแบบนั้นแหละดีแล้ว ใช่แบบนั้นแหละ เรื่องที่ว่านั้นอาจหมายถึงหนังที่เพิ่งดูจบ หนังสือเล่มที่เพิ่งอ่านจบ ความสัมพันธ์ที่จบลง หรืออาจหมายถึงเหตุการณ์ต่างๆที่ดำเนินมาถึงบทสรุป ไม่ว่าการจบลงจะเกิดจากอะไร สิ่งที่เราต้องยอมรับคือมันจบแล้ว คงไม่มีประโยคอะไรที่เราจะนั่งนึกถึงเรื่องเหล่านั้นแล้วโท ษตัวเองว่าทำไมถึงไม่ทำให้ดีกว่านี้ หรือคิดว่ามันควรจะดีกว่านี้ เพราะเอาเข้าจริงแล้วเราคอลโทรลทุกอย่างไม่ได้หรอก เราไม่มาสามารถห้ามบางเรื่องไม่ให้จบลง"
"สัญญานะว่าจะยิ้มให้กับตัวเอง","196.00 บาท","Whenimfeeeling","3 โหวต","วรรณกรรม",NA
