"movies","ratings","votes_total","metascore","gross"
"1. The Shawshank Redemption (1994)",9.3,"2,730,708","82 ","28.34"
"2. The Godfather (1972)",9.2,"1,898,610","100 ","134.97"
"3. The Dark Knight (2008)",9,"2,703,771","84 ","534.86"
"4. Schindler's List (1993)",9,"1,378,831","95 ","96.90"
"5. The Lord of the Rings: The Return of the King (2003)",9,"1,878,527","94 ","377.85"
"6. 12 Angry Men (1957)",9,"807,892","97 ","4.36"
"7. The Godfather Part II (1974)",9,"1,294,555","90 ","57.30"
"8. Pulp Fiction (1994)",8.9,"2,098,211","95 ","107.93"
"9. Inception (2010)",8.8,"2,399,828","74 ","292.58"
"10. The Lord of the Rings: The Fellowship of the Ring (2001)",8.8,"1,907,494","92 ","315.54"
"11. Fight Club (1999)",8.8,"2,173,649","66 ","37.03"
"12. Forrest Gump (1994)",8.8,"2,124,571","82 ","330.25"
"13. Il buono, il brutto, il cattivo (1966)",8.8,"773,981","90 ","6.10"
"14. The Lord of the Rings: The Two Towers (2002)",8.8,"1,695,871","87 ","342.55"
"15. The Matrix (1999)",8.7,"1,948,187","73 ","171.48"
"16. GoodFellas (1990)",8.7,"1,185,215","91 ","46.84"
"17. One Flew Over the Cuckoo's Nest (1975)",8.7,"1,024,361","84 ","112.00"
"18. The Empire Strikes Back (1980)",8.7,"1,314,677","82 ","290.48"
"19. Interstellar (2014)",8.6,"1,893,767","74 ","188.02"
"20. Star Wars (1977)",8.6,"1,387,086","90 ","322.74"
"21. Se7en (1995)",8.6,"1,687,935","65 ","100.13"
"22. The Silence of the Lambs (1991)",8.6,"1,460,292","86 ","130.74"
"23. The Green Mile (1999)",8.6,"1,327,813","61 ","136.80"
"24. Sen to Chihiro no kamikakushi (2001)",8.6,"784,066","96 ","10.06"
"25. Terminator 2: Judgment Day (1991)",8.6,"1,118,085","75 ","204.84"
"26. Saving Private Ryan (1998)",8.6,"1,416,793","91 ","216.54"
"27. Cidade de Deus (2002)",8.6,"767,935","79 ","7.56"
"28. La vita è bella (1997)",8.6,"707,997","59 ","57.60"
"29. Shichinin no samurai (1954)",8.6,"351,445","98 ","0.27"
"30. It's a Wonderful Life (1946)",8.6,"470,269","89 ",NA
"31. Seppuku (1962)",8.6,"60,314","85 ",NA
"32. Gladiator (2000)",8.5,"1,528,376","67 ","187.71"
"33. Whiplash (2014)",8.5,"896,167","89 ","13.09"
"34. Gisaengchung (2019)",8.5,"844,530","96 ","53.37"
"35. The Departed (2006)",8.5,"1,349,588","85 ","132.38"
"36. Back to the Future (1985)",8.5,"1,231,426","87 ","210.61"
"37. Casablanca (1942)",8.5,"581,238","100 ","1.02"
"38. The Prestige (2006)",8.5,"1,357,918","66 ","53.09"
"39. Psycho (1960)",8.5,"684,276","97 ","32.00"
"40. Alien (1979)",8.5,"898,945","89 ","78.90"
"41. Apocalypse Now (1979)",8.5,"679,402","94 ","83.47"
"42. Léon (1994)",8.5,"1,183,126","64 ","19.50"
"43. The Pianist (2002)",8.5,"850,829","85 ","32.57"
"44. The Lion King (1994)",8.5,"1,079,354","88 ","422.78"
"45. The Usual Suspects (1995)",8.5,"1,100,487","77 ","23.34"
"46. American History X (1998)",8.5,"1,139,087","62 ","6.72"
"47. The Intouchables (2011)",8.5,"877,004","57 ","13.18"
"48. Once Upon a Time in the West (1968)",8.5,"335,734","82 ","5.32"
"49. Hotaru no haka (1988)",8.5,"285,328","94 ",NA
"50. Rear Window (1954)",8.5,"499,945","100 ","36.76"
